,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,Label
11202,122000232,개포1단지,127.0605892,37.48258339,1168010300,강남구,개포동,56,3,1,41,5,0,0,0,10,19,0,0,1,22488,0.09808055303606011,5.416184971098266,29597,33702,123248,0
11203,122000233,개포주공1단지,127.0619207,37.48138799,1168010300,강남구,개포동,50,3,1,35,3,0,0,0,9,17,0,0,0,22488,0.09808055303606011,5.416184971098266,29597,29,8806,0
11204,122000234,개포파크빌리지,127.0583604,37.47675071,1168010300,강남구,개포동,5,2,1,3,0,0,0,1,2,2,1,0,0,22488,0.09808055303606011,5.416184971098266,29597,50885,10751,0
11205,122000235,하나은행사거리,127.0542195,37.48085632,1168010300,강남구,개포동,18,8,2,26,2,0,0,1,15,9,0,0,2,22488,0.09808055303606011,5.416184971098266,29597,138040,6503,0
11206,122000236,현대아파트경남아파트,127.0531952,37.48272748,1168010300,강남구,개포동,31,5,1,33,2,0,0,2,12,6,0,0,2,22488,0.09808055303606011,5.416184971098266,29597,128181,4380,0
11207,122000237,우성3차아파트,127.0568897,37.48317361,1168010300,강남구,개포동,58,4,2,44,4,0,1,0,10,22,0,0,1,22488,0.09808055303606011,5.416184971098266,29597,8445,14806,0
11208,122000238,개일초등학교앞,127.0573428,37.48600679,1168010300,강남구,개포동,44,1,1,65,3,0,1,2,18,21,0,0,1,22488,0.09808055303606011,5.416184971098266,29597,35185,62000,0
11209,122000239,개포고등학교,127.0586456,37.48437482,1168010300,강남구,개포동,55,3,1,41,5,0,1,1,9,19,0,0,1,22488,0.09808055303606011,5.416184971098266,29597,64801,57886,0
11210,122000240,개포1단지연금매장,127.0606774,37.48267792,1168010300,강남구,개포동,56,3,1,41,5,0,1,0,10,19,0,0,1,22488,0.09808055303606011,5.416184971098266,29597,116665,54034,0
11211,122000241,래미안블레스티지아파트,127.0636368,37.48024608,1168010300,강남구,개포동,42,2,1,31,2,0,0,0,7,17,0,0,0,22488,0.09808055303606011,5.416184971098266,29597,285044,44556,0
11212,122000242,개포도서관,127.0640807,37.48370158,1168010300,강남구,개포동,50,3,1,36,4,0,0,0,11,18,1,0,0,22488,0.09808055303606011,5.416184971098266,29597,50835,13769,0
