NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10
103900246,마장역,127.0426522,37.56611408,1120010500,성동구,마장동,18,13,0,119,5,0,1,1,28,10,0,0,2,12181,0.1703765535151178,3.2939426717144404,16198,1959,2950
103900247,마장역,127.0423948,37.56564741,1120010500,성동구,마장동,18,13,0,123,5,0,1,1,37,9,0,0,2,12181,0.1703765535151178,3.2939426717144404,16198,1165,3567
103900248,언더스탠드에비뉴,127.042776,37.543572,1120011400,성동구,성수동1가,19,3,1,326,2,0,1,8,153,10,20,0,3,37002,0.17301353531103164,4.998243955153316,22118,262,8307
103900249,성동구민체육센터,127.044474,37.545138,1120011400,성동구,성수동1가,46,4,1,488,3,0,2,4,225,35,24,0,3,37002,0.17301353531103164,4.998243955153316,22118,1105,8194
103900250,서울숲역,127.045484,37.543643,1120011400,성동구,성수동1가,52,8,1,453,5,0,2,3,178,33,25,0,4,37002,0.17301353531103164,4.998243955153316,22118,7415,6461
103900251,경일중고등학교,127.049131,37.542316,1120011400,성동구,성수동1가,59,13,0,408,6,0,1,2,166,21,20,0,2,37002,0.17301353531103164,4.998243955153316,22118,169,7642
103900253,이마트.서울숲힐스테이트아파트,127.052766,37.540475,1120011500,성동구,성수동2가,59,14,0,593,5,0,0,3,172,30,11,0,5,80717,0.19271761805423857,6.700730532956999,20000,376,6783
103900254,서울숲코오롱디지털타워2차,127.05399,37.541411,1120011500,성동구,성수동2가,58,7,1,654,5,0,1,4,192,45,13,0,5,80717,0.19271761805423857,6.700730532956999,20000,365,3804
103900255,서울경찰청제6기동단,127.054739,37.540076,1120011500,성동구,성수동2가,41,8,0,565,4,0,0,2,166,34,13,0,4,80717,0.19271761805423857,6.700730532956999,20000,349,3874
103900256,한라시그마밸리앞,127.05532,37.539647,1120011500,성동구,성수동2가,37,8,0,528,4,0,0,2,157,28,13,0,4,80717,0.19271761805423857,6.700730532956999,20000,4089,4304
103900257,성수역3번출구,127.057104,37.543944,1120011500,성동구,성수동2가,25,6,2,548,2,0,1,3,193,38,13,0,1,80717,0.19271761805423857,6.700730532956999,20000,7168,20125
103900258,서울숲코오롱디지털타워2차,127.053848,37.541461,1120011500,성동구,성수동2가,58,7,0,653,5,0,1,4,190,41,12,0,5,80717,0.19271761805423857,6.700730532956999,20000,3396,837
103900259,이마트.서울숲힐스테이트아파트,127.05257,37.540528,1120011500,성동구,성수동2가,61,13,0,593,5,0,0,3,173,28,11,0,5,80717,0.19271761805423857,6.700730532956999,20000,1982,2602
103900261,현대그린아파트,127.049622,37.540523,1120011400,성동구,성수동1가,59,16,0,379,6,0,0,2,116,21,11,0,5,37002,0.17301353531103164,4.998243955153316,22118,5080,180
103900262,경일중고등학교,127.04921,37.542503,1120011400,성동구,성수동1가,58,12,0,435,6,0,1,2,169,29,20,0,2,37002,0.17301353531103164,4.998243955153316,22118,5776,663
103900263,서울숲역,127.045146,37.543869,1120011400,성동구,성수동1가,47,6,1,442,5,0,2,3,184,32,26,0,4,37002,0.17301353531103164,4.998243955153316,22118,2169,7610
103900264,성동구민종합체육센터,127.044515,37.54527,1120011400,성동구,성수동1가,46,3,1,495,3,0,2,4,229,35,24,0,3,37002,0.17301353531103164,4.998243955153316,22118,1801,539
103900265,서울숲2번출입구,127.04255,37.543527,1120011400,성동구,성수동1가,19,3,1,302,1,0,1,8,147,8,20,0,3,37002,0.17301353531103164,4.998243955153316,22118,1689,206
103900266,옥정초등학교,127.0154196,37.54088924,1120011300,성동구,옥수동,66,16,1,134,2,0,2,0,31,29,1,0,3,4700,0.09718327033288623,3.418181818181818,17695,217,16053
103900267,e편한세상금호109동,127.0220214,37.55359963,1120010900,성동구,금호동1가,58,22,1,146,3,0,1,2,41,25,1,0,4,2286,0.10422878828950935,2.8790931989924435,10584,205,3496
103900268,왕십리자이아파트107동,127.0259693,37.55971284,1120010200,성동구,하왕십리동,89,24,1,98,3,0,1,0,26,27,0,0,2,5808,0.1410966798173678,3.0313152400835075,16762,1830,1971
103900269,왕십리KCC스위첸아파트,127.0269362,37.56046127,1120010200,성동구,하왕십리동,92,22,1,160,4,0,2,0,36,26,0,0,3,5808,0.1410966798173678,3.0313152400835075,16762,30080,1524
103900270,금호베스트빌아파트노인정앞,127.0250695,37.56187332,1120010200,성동구,하왕십리동,41,22,0,163,4,0,1,0,38,28,1,0,1,5808,0.1410966798173678,3.0313152400835075,16762,7802,2640
103900271,풍림아이원아파트후문,127.02685,37.56019425,1120010200,성동구,하왕십리동,92,24,1,147,4,0,1,0,33,24,0,0,3,5808,0.1410966798173678,3.0313152400835075,16762,671,2441
103900272,응봉역.광희중학교,127.0354482,37.55181833,1120010800,성동구,응봉동,34,14,0,42,2,0,1,1,7,6,0,0,2,1237,0.07153532608695652,2.278084714548803,10394,8752,3382
103900273,대림강변타운아파트A상가,127.0358934,37.55468475,1120010800,성동구,응봉동,59,13,1,105,4,0,0,0,22,22,2,0,3,1237,0.07153532608695652,2.278084714548803,10394,18145,491
103900274,리버그린동아아파트정문,127.0375237,37.55349324,1120010800,성동구,응봉동,34,11,1,52,5,0,1,0,14,7,2,0,2,1237,0.07153532608695652,2.278084714548803,10394,35371,196
103900275,서울숲리버뷰자이아파트제2주차장,127.0393208,37.55634683,1120010700,성동구,행당동,50,11,1,370,4,0,2,1,69,19,8,0,3,16110,0.14330225421928477,5.059673366834171,31696,13885,1044
103900276,서울숲리버뷰자이아파트제2주차장,127.0391116,37.5562873,1120010700,성동구,행당동,51,12,1,366,4,0,2,1,71,19,6,0,2,16110,0.14330225421928477,5.059673366834171,31696,1199,1546
103900277,서울숲리버뷰자이아파트제1주차장,127.038889,37.55419708,1120010700,성동구,행당동,42,11,1,102,3,0,1,0,22,7,2,0,2,16110,0.14330225421928477,5.059673366834171,31696,2095,1254
103900278,왕십리로교차로,127.0389354,37.55771977,1120010700,성동구,행당동,64,10,2,524,4,0,5,1,120,38,8,0,4,16110,0.14330225421928477,5.059673366834171,31696,392,2018
103900279,왕십리로교차로,127.0391339,37.55776761,1120010700,성동구,행당동,60,9,2,519,4,0,4,1,120,50,8,0,4,16110,0.14330225421928477,5.059673366834171,31696,245,8594
