NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,행정동코드,행정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,public_office_cnt
122900037,23855,노블발렌티웨딩홀,127.0648044,37.51513435,1168010500,강남구,삼성동,1168058000,삼성1동,17,3,1,148,1,1,0,38,16,12,2
122900038,23741,삼성역,127.0643948,37.50731275,1168010600,강남구,대치동,1168061000,대치2동,58,6,0,333,4,1,2,111,45,10,3
122900039,23883,강남더드림병원.도성초등학교,127.0507991,37.50101373,1168010600,강남구,대치동,1168063000,대치4동,508,12,2,626,4,2,0,145,144,3,1
122900040,23697,동영문화센터,127.0446557,37.49791462,1168010100,강남구,역삼동,1168065000,역삼2동,76,10,1,272,2,0,0,88,35,6,3
122900041,23738,강남세브란스병원,127.0460355,37.49410242,1168010100,강남구,역삼동,1168065000,역삼2동,30,6,0,127,2,0,0,33,36,3,2
122900042,23756,역삼청소년수련관.도곡1차아이파크,127.0427156,37.49310435,1168010100,강남구,역삼동,1168065000,역삼2동,55,5,0,266,1,0,0,76,45,3,2
122900043,23876,동영문화센터,127.0450699,37.49821633,1168010100,강남구,역삼동,1168065000,역삼2동,72,11,1,256,3,0,0,83,36,6,3
122900044,23856,양재전화국,127.0408934,37.48572199,1168011800,강남구,도곡동,1168065500,도곡1동,93,10,1,431,3,0,0,96,43,5,2
122900045,23866,LPG가스충전소,127.035808,37.49063762,1168011800,강남구,도곡동,1168065500,도곡1동,107,10,2,420,4,0,0,127,35,5,3
122900046,23924,도곡중학교.강남세브란스병원,127.0448374,37.49340363,1168011800,강남구,도곡동,1168065500,도곡1동,41,7,0,155,2,0,0,49,37,3,2
122900047,23573,영동2교,127.0436209,37.48241061,1168011800,강남구,도곡동,1168065600,도곡2동,52,7,2,378,2,0,1,111,27,7,1
122900048,23578,도곡2동주민센터대치중학교,127.045412,37.48419052,1168011800,강남구,도곡동,1168065600,도곡2동,34,6,1,245,2,1,2,77,19,7,1
122900049,23695,매봉역,127.0450399,37.48594331,1168011800,강남구,도곡동,1168065600,도곡2동,42,6,1,231,2,1,2,64,18,6,1
122900050,23725,도곡2동주민센터대치중학교,127.0453092,37.48443836,1168011800,강남구,도곡동,1168065600,도곡2동,36,6,1,242,2,1,2,76,18,7,1
122900051,23731,영동2교,127.0435556,37.48277017,1168011800,강남구,도곡동,1168065600,도곡2동,48,6,2,375,2,0,1,105,25,8,1
122900052,23533,구룡마을,127.0615011,37.47713637,1168010300,강남구,개포동,1168066000,개포1동,1,0,0,1,1,0,0,1,0,0,0
