NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동_x,academy_cnt,bank_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,RIDE_SUM_6_10,ALIGHT_SUM_6_10,tot_family,tot_ppltn,corp_cnt,employee_cnt,population_code_15to64,household_cnt_family,household_cnt_alone
100900207,창신초등학교,127.0153886,37.5769032,1111017400,종로구,창신동,29,11,12,1,162,2,0,2,3,41,50,3,0,9,28216,12124,8422,18544,4277,9613,13614,5190,2970
100900208,구민회관.동묘역,127.0155759,37.57404762,1111017400,종로구,창신동,33,27,9,1,437,2,0,2,10,69,54,2,0,8,61645,59815,8422,18544,4277,9613,13614,5190,2970
100900205,동묘역,127.0142454,37.57269435,1111017400,종로구,창신동,25,55,6,1,475,2,0,4,9,78,62,1,0,7,12876,48816,8422,18544,4277,9613,13614,5190,2970
100900117,동대문역.2번출구,127.0117218,37.57204945,1111017400,종로구,창신동,19,76,6,2,554,1,0,4,14,123,69,6,0,7,16730,91554,8422,18544,4277,9613,13614,5190,2970
100000339,동대문역,127.0145771,37.57285921,1111017400,종로구,창신동,26,53,7,1,486,2,0,3,9,75,63,1,0,7,61645,59815,8422,18544,4277,9613,13614,5190,2970
100000340,동대문역,127.0150378,37.57266691,1111017400,종로구,창신동,29,53,8,1,493,3,0,3,9,75,64,1,0,6,61645,59815,8422,18544,4277,9613,13614,5190,2970
100900132,동대문역5번출구,127.0117987,37.57172324,1111017400,종로구,창신동,19,84,6,2,596,0,0,4,13,141,74,7,0,7,61645,59815,8422,18544,4277,9613,13614,5190,2970
107900218,창신쌍용2단지.한성대후문,127.0127355,37.58139636,1111017400,종로구,창신동,17,10,15,0,43,6,0,1,4,22,1,1,0,5,771,94665,8422,18544,4277,9613,13614,5190,2970
100000366,동묘앞,127.0184085,37.57377866,1111017500,종로구,숭인동,39,40,9,2,374,3,0,2,5,70,63,3,0,4,144990,98021,7687,14289,3006,8843,10937,3435,3995
100000367,동묘앞,127.019672,37.57424345,1111017500,종로구,숭인동,45,43,9,2,393,2,0,5,2,76,63,3,0,6,495415,622483,7687,14289,3006,8843,10937,3435,3995
100000140,동묘역앞,127.015945,37.57192215,1111017500,종로구,숭인동,29,55,8,1,484,4,0,3,7,74,59,1,0,6,10248,13033,7687,14289,3006,8843,10937,3435,3995
100000143,숭인1동주민센터.창신역4번출구,127.0155486,37.57877205,1111017500,종로구,숭인동,30,4,14,1,88,5,0,1,2,27,7,1,0,6,129992,30778,7687,14289,3006,8843,10937,3435,3995
100000144,동묘역.롯데캐슬천지인,127.0158024,37.57418005,1111017500,종로구,숭인동,33,28,10,1,422,2,0,2,10,68,55,2,0,8,130698,44134,7687,14289,3006,8843,10937,3435,3995
100000146,숭인동,127.020339,37.5743009,1111017500,종로구,숭인동,51,47,8,2,448,2,0,5,1,76,55,4,0,4,61645,59815,7687,14289,3006,8843,10937,3435,3995
100000147,신설동로터리,127.0227802,37.57592883,1111017500,종로구,숭인동,49,36,6,0,429,4,0,3,1,75,26,5,0,5,157165,424251,7687,14289,3006,8843,10937,3435,3995
100000364,동묘앞,127.0178163,37.57372922,1111017500,종로구,숭인동,37,36,8,2,367,3,0,2,6,67,59,3,0,5,7787,27336,7687,14289,3006,8843,10937,3435,3995
