,index,Unnamed: 0,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,Label,gmm_cluster,구-동
469,7058,7058,115000120,발산역.우장산힐스테이트,126.8376255,37.5560386,1150010600,강서구,내발산동,162,14,1,493,7,0,1,0,89,80,1,0,1,12968,0.0650421399780139,4.033592534992224,23383,66615,114498,0,7,강서구내발산동
470,7059,7059,115000121,발산역.우장산힐스테이트,126.8374836,37.55676559,1150010600,강서구,내발산동,151,12,2,646,6,0,1,0,115,94,2,0,1,12968,0.0650421399780139,4.033592534992224,23383,46727,63122,0,7,강서구내발산동
471,7065,7065,115000127,서울강서우체국,126.8400518,37.56456734,1150010200,강서구,등촌동,14,9,1,288,3,0,1,0,90,23,1,0,0,40715,0.1853280263519077,5.898160220194119,54807,28558,12847,0,6,강서구등촌동
474,7092,7092,115000154,태영.삼성한사랑아파트,126.8654574,37.55506527,1150010200,강서구,등촌동,77,17,1,228,3,0,1,2,58,24,1,0,1,40715,0.1853280263519077,5.898160220194119,54807,103636,17912,0,6,강서구등촌동
475,7130,7130,115000196,등촌3동5단지아파트.등촌고등학교,126.84519,37.561745,1150010200,강서구,등촌동,149,17,3,256,6,0,0,0,60,33,3,0,1,40715,0.1853280263519077,5.898160220194119,54807,36279,13217,0,6,강서구등촌동
476,7131,7131,115000197,등촌3동5단지아파트.등촌고등학교,126.8455808,37.56177301,1150010200,강서구,등촌동,147,19,4,261,6,0,0,0,59,35,3,0,2,40715,0.1853280263519077,5.898160220194119,54807,35267,15265,0,6,강서구등촌동
477,7132,7132,115000198,등촌3동주공4단지아파트,126.8430372,37.56240403,1150010200,강서구,등촌동,141,15,4,347,5,0,0,0,87,56,4,0,0,40715,0.1853280263519077,5.898160220194119,54807,64219,10830,0,6,강서구등촌동
478,7133,7133,115000199,등촌동부영아파트,126.8431058,37.56260957,1150010200,강서구,등촌동,130,14,4,311,5,0,0,0,84,36,4,0,0,40715,0.1853280263519077,5.898160220194119,54807,76545,8280,0,6,강서구등촌동
479,7134,7134,115000200,등촌3동주공10단지아파트,126.8474153,37.56196643,1150010200,강서구,등촌동,139,17,3,244,8,0,0,0,53,58,4,0,2,40715,0.1853280263519077,5.898160220194119,54807,50130,12042,0,6,강서구등촌동
480,7135,7135,115000201,등촌3동대림아파트,126.8472923,37.5623231,1150010200,강서구,등촌동,131,19,3,236,7,0,0,0,50,54,2,0,2,40715,0.1853280263519077,5.898160220194119,54807,27570,20423,0,6,강서구등촌동
481,7146,7146,115000218,수협직판장,126.818273,37.552122,1150010700,강서구,외발산동,3,3,0,56,1,0,0,0,11,3,0,0,1,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
482,7147,7147,115000219,청과2시장,126.821887,37.554348,1150010700,강서구,외발산동,67,12,2,95,3,0,0,0,21,14,0,0,1,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
483,7160,7160,115000236,등촌주공1.2단지,126.8432439,37.56584647,1150010200,강서구,등촌동,26,9,3,257,3,0,1,0,82,17,0,0,1,40715,0.1853280263519077,5.898160220194119,54807,61645,59815,0,1,강서구등촌동
484,7161,7161,115000237,등촌2단지부영아파트,126.8425802,37.56383165,1150010200,강서구,등촌동,76,11,2,279,4,0,1,0,86,23,3,0,0,40715,0.1853280263519077,5.898160220194119,54807,61645,59815,0,6,강서구등촌동
485,7169,7169,115000246,등촌주공9단지,126.850602,37.561643,1150010200,강서구,등촌동,125,16,4,254,9,0,1,0,56,68,5,0,2,40715,0.1853280263519077,5.898160220194119,54807,7231,2736,0,6,강서구등촌동
486,7170,7170,115000247,강서구민올림픽체육센터,126.850182,37.559912,1150010200,강서구,등촌동,138,15,5,284,9,0,1,1,61,73,7,0,2,40715,0.1853280263519077,5.898160220194119,54807,4642,2940,0,6,강서구등촌동
487,7178,7178,115000255,부영주공1단지,126.843218,37.5641614,1150010200,강서구,등촌동,88,12,1,260,5,0,1,0,80,24,1,0,0,40715,0.1853280263519077,5.898160220194119,54807,61645,59815,0,6,강서구등촌동
488,7179,7179,115000256,등촌주공1.2단지,126.842626,37.5663016,1150010200,강서구,등촌동,30,9,3,261,3,0,1,0,85,16,0,0,1,40715,0.1853280263519077,5.898160220194119,54807,61645,59815,0,1,강서구등촌동
489,7185,7185,115000262,강서구민올림픽체육센터,126.850322,37.559795,1150010200,강서구,등촌동,135,15,4,283,9,0,1,1,60,72,7,0,2,40715,0.1853280263519077,5.898160220194119,54807,1782,3888,0,6,강서구등촌동
490,7186,7186,115000263,등촌9단지SBS공개홀,126.850932,37.561875,1150010200,강서구,등촌동,117,17,4,238,8,0,1,0,56,67,5,0,2,40715,0.1853280263519077,5.898160220194119,54807,809,3757,0,6,강서구등촌동
491,7202,7202,115000284,발산역7번출구,126.8378252,37.55788431,1150010600,강서구,내발산동,107,8,2,684,3,0,1,0,132,92,3,0,1,12968,0.0650421399780139,4.033592534992224,23383,7947,22609,0,7,강서구내발산동
492,7205,7205,115000296,외발산동기점,126.8213322,37.54520915,1150010700,강서구,외발산동,3,2,0,13,1,0,0,0,3,1,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,44293,1015,0,1,강서구외발산동
493,7238,7238,115000538,강서면허시험장메이필트호텔,126.8181908,37.55024778,1150010700,강서구,외발산동,5,3,0,48,2,0,0,0,7,3,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
494,7246,7246,115000558,강서면허시험장.강서농수산물시장,126.8184685,37.55009773,1150010700,강서구,외발산동,5,4,0,47,1,0,0,0,7,3,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,19066,15584,0,1,강서구외발산동
495,7247,7247,115000559,수협공판장,126.8193639,37.55329167,1150010700,강서구,외발산동,4,5,1,56,2,0,0,0,9,2,0,0,1,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
496,7250,7250,115000563,대한항공,126.8168536,37.549578,1150010700,강서구,외발산동,0,1,0,27,1,0,0,0,6,3,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
497,7251,7251,115000568,대한항공빌딩,126.8145691,37.55073415,1150010700,강서구,외발산동,0,0,0,29,1,0,0,0,5,1,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
498,7252,7252,115000570,대한항공,126.8160727,37.5490911,1150010700,강서구,외발산동,0,0,0,23,1,0,0,0,6,1,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
499,7258,7258,115000577,대한항공,126.8159368,37.54960181,1150010700,강서구,외발산동,0,0,0,26,2,0,0,0,5,1,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
500,7267,7267,115000590,KBS스포츠월드,126.850512,37.556782,1150010200,강서구,등촌동,32,8,2,377,7,0,0,2,66,29,6,0,2,40715,0.1853280263519077,5.898160220194119,54807,89272,178326,0,6,강서구등촌동
501,7291,7291,115000619,메이필드호텔,126.8185609,37.54718808,1150010700,강서구,외발산동,4,1,0,22,2,0,0,0,6,3,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
502,7292,7292,115000620,대한항공,126.8150621,37.54998341,1150010700,강서구,외발산동,0,0,0,27,2,0,0,0,6,1,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
503,7294,7294,115000622,대한항공,126.8145135,37.55078903,1150010700,강서구,외발산동,0,0,0,29,1,0,0,0,5,1,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
504,7296,7296,115000625,대한항공차고지,126.815969,37.54893415,1150010700,강서구,외발산동,0,0,0,15,1,0,0,0,5,1,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
505,7307,7307,115000640,강서면허시험장,126.8188279,37.55027309,1150010700,강서구,외발산동,5,4,0,48,1,0,0,0,7,3,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
506,7317,7317,115000893,발산역,126.8376109,37.55857335,1150010600,강서구,내발산동,93,7,2,736,3,0,1,0,152,94,4,0,1,12968,0.0650421399780139,4.033592534992224,23383,175728,102837,0,7,강서구내발산동
507,7335,7335,115000915,대한항공.메이필드호텔,126.8168623,37.54951082,1150010700,강서구,외발산동,0,1,0,26,1,0,0,0,6,3,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,984,32,0,1,강서구외발산동
508,7336,7336,115000916,영인운수.차고지,126.8179353,37.54533512,1150010700,강서구,외발산동,2,1,0,11,1,0,0,0,3,0,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,678,496,0,1,강서구외발산동
509,7337,7337,115000917,영인운수.차고지,126.8182036,37.54532236,1150010700,강서구,외발산동,2,1,0,11,1,0,0,0,3,0,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,2,1489,0,1,강서구외발산동
510,7344,7344,115000924,대한항공,126.8164831,37.54988855,1150010700,강서구,외발산동,0,0,0,27,1,0,0,0,6,2,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,61645,59815,0,1,강서구외발산동
511,7349,7349,115000934,다솔마을.강서농수산물도매시장,126.8198769,37.55481797,1150010700,강서구,외발산동,11,14,1,61,4,0,0,0,11,0,0,0,1,9301,0.0598147993659798,4.688004032258065,8531,8593,13438,0,1,강서구외발산동
512,7369,7369,115900003,등촌9단지,126.8487623,37.56140678,1150010200,강서구,등촌동,132,15,4,260,8,0,0,0,54,63,5,0,2,40715,0.1853280263519077,5.898160220194119,54807,20681,4095,0,6,강서구등촌동
513,7390,7390,115900025,등촌강변샤르망오피스텔,126.8571485,37.55862474,1150010200,강서구,등촌동,47,17,3,262,7,0,2,0,80,46,3,0,3,40715,0.1853280263519077,5.898160220194119,54807,1947,14890,0,6,강서구등촌동
514,7423,7423,115900059,경복비즈니스고등학교,126.8534899,37.55765699,1150010200,강서구,등촌동,44,11,3,329,7,0,1,1,88,42,6,0,1,40715,0.1853280263519077,5.898160220194119,54807,61645,59815,0,6,강서구등촌동
515,7433,7433,115900069,등촌현대아파트,126.8550856,37.55661729,1150010200,강서구,등촌동,40,11,2,384,6,0,0,0,90,36,2,0,2,40715,0.1853280263519077,5.898160220194119,54807,3349,11865,0,6,강서구등촌동
516,7447,7447,115900083,발산역,126.8377691,37.55767158,1150010600,강서구,내발산동,115,8,2,679,3,0,1,0,129,92,2,0,1,12968,0.0650421399780139,4.033592534992224,23383,61645,59815,0,7,강서구내발산동
518,7500,7500,115900136,발산역.우장산힐스테이트,126.8376591,37.55618733,1150010600,강서구,내발산동,162,13,2,578,6,0,1,0,106,84,2,0,1,12968,0.0650421399780139,4.033592534992224,23383,61645,59815,0,7,강서구내발산동
519,7501,7501,115900137,청과시장2,126.8212167,37.55185365,1150010700,강서구,외발산동,45,7,1,69,3,0,0,0,16,13,0,0,1,9301,0.0598147993659798,4.688004032258065,8531,2383,554,0,1,강서구외발산동
520,7515,7515,115900151,등촌5단지,126.8439156,37.55914234,1150010200,강서구,등촌동,169,13,3,300,5,0,0,1,58,40,6,0,1,40715,0.1853280263519077,5.898160220194119,54807,5245,7394,0,6,강서구등촌동
521,7517,7517,115900153,등촌10단지,126.8486444,37.56153368,1150010200,강서구,등촌동,132,16,4,263,9,0,0,0,55,63,5,0,2,40715,0.1853280263519077,5.898160220194119,54807,15288,8776,0,6,강서구등촌동
523,7533,7533,115900170,태영.삼성한사랑아파트,126.8653894,37.55514359,1150010200,강서구,등촌동,74,17,1,225,3,0,1,2,57,25,1,0,1,40715,0.1853280263519077,5.898160220194119,54807,61645,59815,0,6,강서구등촌동
524,7536,7536,115900173,등촌주공9단지,126.8498917,37.56268147,1150010200,강서구,등촌동,118,19,4,215,8,0,1,1,47,60,3,0,2,40715,0.1853280263519077,5.898160220194119,54807,22701,7340,0,6,강서구등촌동
