,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10
1663,104000075,광나루역.극동아파트,127.102963,37.543536,1121510400,광진구,광장동,35,13,2,80,6,1,1,2,26,9,0,0,2,11363,0.04468325791855204,5.431644359464627,23929,7828,24123
1664,104000076,광나루역.극동아파트,127.1030857,37.54391704,1121510400,광진구,광장동,35,13,2,93,6,1,1,2,33,9,1,0,2,11363,0.04468325791855204,5.431644359464627,23929,71091,6190
1665,104000077,광나루역,127.1033046,37.54509368,1121510400,광진구,광장동,34,13,2,116,6,1,1,4,44,9,1,0,2,11363,0.04468325791855204,5.431644359464627,23929,61644,59814
1666,104000078,광나루역,127.1032295,37.54561368,1121510400,광진구,광장동,34,13,2,114,6,1,1,4,42,9,1,0,2,11363,0.04468325791855204,5.431644359464627,23929,61644,59814
1667,104000080,워커힐아파트앞,127.1090264,37.55049601,1121510400,광진구,광장동,11,2,0,76,1,1,0,2,30,2,0,0,0,11363,0.04468325791855204,5.431644359464627,23929,61644,59814
1668,104000081,워커힐입구,127.1087232,37.55061343,1121510400,광진구,광장동,11,2,0,76,1,1,0,2,31,2,0,0,0,11363,0.04468325791855204,5.431644359464627,23929,61644,59814
1669,104000082,광진구청,127.0831531,37.53848833,1121510500,광진구,자양동,67,11,1,455,3,0,1,0,81,54,2,0,4,32054,0.15150096944574445,3.7263427109974425,66817,176666,386714
1670,104000083,자양사거리,127.0826036,37.53688927,1121510500,광진구,자양동,56,13,0,475,3,0,1,0,63,56,2,0,2,32054,0.15150096944574445,3.7263427109974425,66817,58232,20222
1671,104000084,자양사거리,127.0821045,37.5367503,1121510500,광진구,자양동,60,12,0,481,3,0,1,0,66,56,2,0,3,32054,0.15150096944574445,3.7263427109974425,66817,16623,29568
1672,104000085,자양초등학교앞,127.0786588,37.53784443,1121510500,광진구,자양동,38,12,1,259,3,0,0,1,58,41,2,0,3,32054,0.15150096944574445,3.7263427109974425,66817,56718,27042
1673,104000086,자양초등학교앞,127.0787965,37.53747939,1121510500,광진구,자양동,44,14,1,286,3,0,0,1,61,48,3,0,3,32054,0.15150096944574445,3.7263427109974425,66817,30461,30638
1674,104000087,건국대학교앞,127.0749259,37.53894901,1121510700,광진구,화양동,24,7,1,306,5,1,1,2,89,37,10,0,1,14792,0.5252191169174797,4.730412535976975,21444,34566,148399
1675,104000090,자양미소약국.자양골목시장,127.077319,37.53275,1121510500,광진구,자양동,99,24,1,312,4,0,0,1,58,24,0,0,3,32054,0.15150096944574445,3.7263427109974425,66817,110639,55168
1676,104000092,국민은행자양지점앞,127.0814131,37.53157273,1121510500,광진구,자양동,85,26,1,308,3,0,0,2,60,40,1,0,3,32054,0.15150096944574445,3.7263427109974425,66817,166628,75992
1677,104000094,자양하늘채베르아파트앞,127.084608,37.53219224,1121510500,광진구,자양동,86,20,1,220,6,0,0,2,47,52,2,0,3,32054,0.15150096944574445,3.7263427109974425,66817,73981,52600
1678,104000095,자양동잠실대교북단,127.0848057,37.53295532,1121510500,광진구,자양동,82,19,1,243,6,0,1,2,43,63,2,0,3,32054,0.15150096944574445,3.7263427109974425,66817,304134,133602
1679,104000096,신자초등학교앞,127.0750133,37.53036949,1121510500,광진구,자양동,93,18,0,175,1,0,0,2,42,14,1,0,2,32054,0.15150096944574445,3.7263427109974425,66817,242288,8308
1680,104000097,자양미소약국.자양골목시장,127.0768713,37.53270034,1121510500,광진구,자양동,110,22,1,303,4,0,0,1,58,28,0,0,3,32054,0.15150096944574445,3.7263427109974425,66817,274346,36730
1681,104000098,국민은행자양지점앞,127.0807387,37.53153084,1121510500,광진구,자양동,100,25,1,327,4,0,0,2,65,39,1,0,3,32054,0.15150096944574445,3.7263427109974425,66817,398367,38870
1682,104000100,자양하늘채베르아파트앞,127.0846733,37.53197322,1121510500,광진구,자양동,84,20,1,208,6,0,0,2,46,49,2,0,3,32054,0.15150096944574445,3.7263427109974425,66817,241234,67582
1683,104000101,자양동잠실대교북단,127.0858514,37.53212015,1121510500,광진구,자양동,69,16,1,154,6,0,0,1,35,31,2,0,3,32054,0.15150096944574445,3.7263427109974425,66817,159878,116988
1684,104000106,구의역3번출구,127.0882894,37.53751863,1121510500,광진구,자양동,67,13,1,431,2,0,1,0,72,54,2,0,1,32054,0.15150096944574445,3.7263427109974425,66817,14243,65784
