NODE_ID,RIDE_SUM_6_10,ALIGHT_SUM_6_10
102000227,15187,104
102000228,28,10505
102000229,6961,5930
102000230,36721,25556
102000231,33548,28473
102000232,6726,19765
102000233,109977,37421
102000234,12169,97910
102000236,28852,5805
102000237,81448,40137
102000238,26272,27136
102000240,31282,75815
102000241,24405,10336
102000243,665,4144
102000245,1482,7711
102000246,872,7163
102000247,33598,42386
102000248,37185,92991
102000249,19872,9647
102000250,8862,14632
102000254,26905,13403
102000266,575,57019
102000271,2554,169
102000286,45741,32322
102000297,220428,91241
102000299,2,8
102000301,9,90
102000303,0,4
102000305,0,16
102000307,310,693
102000308,5,2003
102000316,17767,11991
102000317,776,57
102000318,2,454
102900001,84068,56539
102900002,27129,3869
102900003,12916,10734
102900005,51341,18729
102900006,47164,4875
102900007,68063,852
102900008,27849,2121
102900009,17718,28615
102900010,18134,91341
102900011,76001,40629
102900012,46926,9976
102900013,7031,1704
102900015,77541,56774
102900016,8101,2032
102900017,25142,9826
102900018,6455,3005
102900019,47671,42078
102900020,26639,1893
102900021,4981,1798
102900022,6705,5031
102900023,2089,4726
102900024,9019,3531
102900025,6803,4653
102900026,29421,205044
102900027,10584,6432
102900028,14544,87716
102900029,8084,32753
102900030,35549,35381
102900031,32996,8979
102900032,14287,3316
102900033,8033,11875
102900034,71656,2616
102900035,18523,15570
102900036,36596,13357
102900037,23318,18325
102900038,34354,12561
102900039,1347,76554
102900040,25202,23636
102900041,11797,8730
102900042,32297,11055
102900043,32585,9522
102900044,46768,118655
102900045,25811,29100
102900046,21667,9253
102900047,14583,62537
102900048,68038,15793
102900049,7233,22434
102900050,17318,42293
102900051,21172,30792
102900053,29089,40144
102900054,19092,132694
102900055,11420,28952
102900056,7706,23167
102900057,402,6722
102900058,41526,8593
102900059,2584,1456
102900060,7642,33457
102900061,16597,38653
102900062,31677,39825
102900063,181904,31510
102900064,7039,40327
102900065,85153,12143
102900066,30837,1054
102900068,3799,14295
102900070,20678,31814
102900072,828,4791
102900073,3857,358
102900075,658,7359
102900076,4595,10974
102900077,2520,1530
102900078,2171,2636
102900079,22513,368
102900080,40080,1550
102900081,5128,17255
102900082,2215,17693
102900083,8375,495
102900084,188,3058
102900085,13131,7033
102900086,1508,6402
102900087,21347,8356
102900088,3936,3550
102900089,19603,15893
102900090,131,12853
102900091,30257,209
102900092,49537,8776
102900094,291,22370
102900095,6896,55
102900096,8687,591
102900097,904,2395
102900098,472,45
103000001,205063,271838
103000002,251012,307581
103000003,296397,321007
103000004,77542,51655
103000005,147894,462586
103000006,112657,157604
103000007,49658,34377
103000008,93451,96894
103000009,187803,114982
103000010,33282,10058
103000011,121745,57809
103000012,104892,142346
103000013,124551,98697
103000014,115005,295827
103000015,183554,94200
103000016,70809,202301
103000017,26862,81741
103000018,62349,16768
103000019,39861,62068
103000020,118801,138037
103000021,189991,314892
103000022,67718,95418
103000023,97967,247601
103000024,9048,6386
103000025,14120,133394
103000026,34102,24597
103000027,16915,53532
103000028,14847,21085
103000029,8059,21834
103000030,164675,129455
103000031,63901,234576
103000032,144590,111029
103000033,298919,256603
103000034,113002,71498
103000035,16235,106763
103000036,22219,22461
103000037,50553,32566
103000038,33544,74419
103000039,72143,27473
103000040,72824,43881
103000041,278540,108195
103000042,226683,27145
103000043,104525,52669
103000044,37592,11846
103000046,30513,44463
103000047,79762,29945
103000048,29552,23890
103000049,7209,9200
103000050,79940,16312
103000051,53783,34764
103000052,74629,12530
103000053,20731,26056
103000054,171386,40107
103000055,184673,105863
103000056,81324,58966
103000057,139170,12638
103000058,88887,31547
103000059,95375,49702
103000060,87086,22447
103000061,84571,63796
103000062,77214,23273
103000063,106985,74493
103000064,15306,6757
103000065,1592,20775
103000066,24633,1781
103000069,34770,31051
103000070,64949,31196
103000071,169290,74862
103000072,14394,37233
103000073,113112,8960
103000074,89801,11132
103000075,9951,35199
103000076,28092,82854
103000077,988,20405
103000078,93955,137780
103000079,42106,90263
103000080,38291,37689
103000081,27358,98887
103000082,54440,13957
103000083,10725,35164
103000084,9448,501
103000085,197,14414
103000086,32278,54782
103000087,8871,70878
103000088,19825,48839
103000089,27034,93545
103000090,412101,112696
103000091,132209,62076
103000092,35601,18900
103000093,26950,56578
103000094,33141,10413
103000095,8436,36877
103000096,51372,3038
103000097,5460,64280
103000098,51532,7503
103000099,9058,54567
103000100,17023,31120
103000101,138310,8434
103000102,8309,21927
103000103,75935,10232
103000104,16660,6021
103000105,25751,7331
103000106,866,13655
103000107,26331,9961
103000108,200163,203346
103000109,56048,71105
103000110,58716,83889
103000111,31337,68285
103000112,20126,58132
103000113,22113,140794
103000114,161928,128280
103000115,109057,74351
103000116,95797,32073
103000117,46963,43542
103000118,43656,28927
103000119,91430,31888
103000120,7649,28242
103000121,11864,18411
103000122,40117,66192
103000125,2791,5479
103000126,97925,178
103000127,666,6582
103000128,19939,279
103000129,270,5810
103000130,7733,6503
103000131,8807,8932
103000132,4497,13596
103000133,2315,10113
103000134,14727,94364
103000135,49847,16018
103000136,38874,45081
103000137,30520,59101
103000138,44482,85192
103000139,113,8322
103000140,12024,2006
103000141,1499,18795
103000142,10213,7510
103000143,5898,15126
103000144,16757,11747
103000145,934,29721
103000150,13130,5647
103000152,17859,46578
103000153,17605,48749
103000156,990,8990
103000157,54084,235
103000159,23578,3429
103000162,2175,2504
103000163,1089,2695
103000164,419,1045
103000165,7186,11263
103000166,36941,77861
103000167,24372,34099
103000168,22150,25020
103000169,22598,77587
103000170,146109,20737
103000171,3703,12474
103000172,93992,12810
103000173,108494,13396
103000174,47846,24749
103000175,44070,10293
103000176,97991,105362
103000177,23717,48290
103000178,7551,22400
103000179,11959,8034
103000183,46733,1062
103000185,21899,5131
103000186,31926,6814
103000187,111065,12064
103000188,2685,9115
103000189,65879,110448
103000191,39161,24289
103000292,97574,194049
103000293,62477,339271
103000295,8748,13315
103000296,9113,409
103000297,296,4886
103000504,4371,674
103000505,521,4075
103000506,1614,8925
103000507,25941,1271
103000508,38019,35169
103000509,31817,57900
103000514,11737,189
103900001,353,2133
103900002,56562,8673
103900003,43757,2297
103900004,13139,25
103900005,89,9579
103900006,362,198
103900007,12356,163
103900008,2041,93
103900009,27834,11775
103900010,24817,6676
103900011,46722,4151
103900012,1040,7484
103900013,5770,1251
103900014,7346,1741
103900015,8269,468
103900016,12315,7638
103900017,7462,7492
103900018,20312,6269
103900019,10082,50737
103900020,32407,37439
103900021,5785,1505
103900022,52312,18217
103900023,3249,8
103900024,8207,13624
103900025,1084,709
103900026,775,11
103900027,33735,13658
103900028,4316,29863
103900029,137311,13014
103900030,3493,1404
103900031,5557,197
103900032,11577,16355
103900033,479,478
103900034,4541,2449
103900035,10631,4426
103900036,337,656
103900037,12301,9306
103900038,9921,22201
103900039,17533,8553
103900040,918,6599
103900041,5411,2700
103900042,15324,6719
103900043,36970,3873
103900044,478,7255
103900045,27364,13508
103900047,13452,1522
103900048,1007,2233
103900049,7628,103248
103900050,1623,13689
103900051,108,6254
103900052,16210,24992
103900053,42315,10732
103900054,25539,8795
103900055,40563,12281
103900056,6350,5766
103900057,22014,5166
103900058,44030,14118
103900059,202,12660
103900060,14600,5510
103900061,25893,1038
103900062,67260,18716
103900063,333,9
103900064,2794,19
103900065,13951,25503
103900066,3200,556
103900067,28237,937
103900068,206,123
103900069,8751,853
103900070,15213,7750
103900071,2095,3129
103900072,5686,5229
103900073,510,569
103900074,13063,3052
103900075,29204,3540
103900076,65874,21138
103900077,280,2171
103900078,31926,21109
103900079,9249,13515
103900080,413,2700
103900081,1863,3750
103900082,5420,9938
103900083,181134,23837
103900084,3101,29306
103900085,101500,86681
103900086,129540,18844
103900088,15641,31826
103900089,4807,16305
103900090,201,5467
103900091,52384,8729
103900092,68582,59862
103900093,7320,20549
103900094,2876,3418
103900095,12782,33492
103900096,17194,4678
103900097,2449,17221
103900098,35978,6523
103900099,33943,6274
103900100,31831,6805
103900101,56781,59551
103900102,89,1442
103900104,114,1827
103900105,3856,4755
103900106,214,69376
103900107,23367,3250
103900108,9396,9033
103900109,21076,1603
103900110,24937,2703
103900111,23807,11773
103900112,2442,10124
103900113,5788,12206
103900114,50235,14672
103900115,8918,17997
103900116,87413,255350
103900117,5010,2072
103900119,1608,15242
103900120,12937,3911
103900122,23383,6860
103900123,33302,65025
103900124,4363,15324
103900125,11249,4857
103900126,48800,7719
103900127,11174,11245
103900128,10672,3485
103900131,3318,4286
103900133,85746,1689
103900134,93,1181
103900135,43,56
103900137,10,336
103900138,34951,3336
103900139,32144,337884
103900140,434,42290
103900141,15065,1760
103900142,47875,6112
103900143,26133,123
103900144,179,1142
103900145,11960,13092
103900146,22867,12338
103900147,40540,6093
103900148,39548,7736
103900149,30284,11770
103900150,262008,307578
103900151,619,8662
103900152,74335,10309
103900153,1598,1279
103900154,40796,218476
103900155,2720,5981
103900156,4785,2517
103900157,16655,2405
103900158,28945,2475
103900159,40125,1505
103900160,4053,2111
103900161,4779,5959
103900162,3759,2860
103900163,1410,28808
103900167,461,9347
103900168,5792,4155
103900169,1938,4252
103900170,75,4460
103900171,391,2167
103900172,198,1044
103900173,4100,2856
103900174,29697,1412
103900175,3049,15842
103900176,633,3399
103900177,1963,1041
103900178,8065,520
103900179,8104,1377
103900180,383,2073
103900181,1618,4106
103900182,2054,2005
103900184,14726,6013
103900185,4098,79766
103900187,1001,11789
103900188,9428,3927
103900189,12445,423
103900190,12318,2449
103900191,2056,4638
103900192,2408,5641
103900193,3765,6490
103900194,4416,6203
103900195,182,13935
103900196,6089,5610
103900197,1754,2607
103900198,884,1848
103900199,15190,3878
103900200,24300,3111
103900201,8615,4492
103900202,980,6310
103900203,4965,3845
103900204,148,2094
103900207,42,1313
103900208,12166,71
103900209,635,3512
103900210,4301,3575
103900211,75679,7309
103900212,17515,6414
103900213,3081,25488
103900214,17053,40301
103900215,10784,37815
103900216,676,9339
103900217,35534,903
103900218,40577,192534
103900219,34456,11820
103900233,37922,3431
103900235,3306,26678
103900236,1209,3843
103900242,89,769
103900243,92,824
103900244,11573,7615
103900245,9242,5952
103900246,1959,2950
103900247,1165,3567
103900248,262,8307
103900249,1105,8194
103900250,7415,6461
103900251,169,7642
103900253,376,6783
103900254,365,3804
103900255,349,3874
103900256,4089,4304
103900257,7168,20125
103900258,3396,837
103900259,1982,2602
103900261,5080,180
103900262,5776,663
103900263,2169,7610
103900264,1801,539
103900265,1689,206
103900266,217,16053
103900267,205,3496
103900268,1830,1971
103900269,30080,1524
103900270,7802,2640
103900271,671,2441
103900272,8752,3382
103900273,18145,491
103900274,35371,196
103900275,13885,1044
103900276,1199,1546
103900277,2095,1254
103900278,392,2018
103900279,245,8594
103900280,532,1583
103900281,69184,40891
103900282,3313,2428
103900283,23030,2462
103900284,3210,3988
103900285,522,25108
103900286,2300,66534
103900287,73,15318
103900288,1523,24428
103900289,236,22
103900290,8518,13091
103900291,1433,45
103900292,382,231
103900293,382,476
103900294,499,663
103900295,17249,1324
103900296,3041,3428
103900297,755,28545
103900298,2026,115562
103900299,12143,13116
104000001,383877,191982
104000002,210133,180064
104000003,220676,171138
104000004,272935,195822
104000005,240285,178258
104000006,281465,207588
104000007,439347,320791
104000008,23674,17106
104000009,25968,14378
104000010,18352,58037
104000011,27662,15384
104000012,15575,17728
104000013,28265,45965
104000014,20742,26421
104000015,51270,14460
104000016,21575,18687
104000018,84515,22830
104000019,67248,39251
104000020,10922,21176
104000021,26679,19559
104000022,13438,23207
104000023,140207,43185
104000024,30630,25568
104000026,10606,14181
104000027,31581,16357
104000028,51127,30119
104000029,34500,22194
104000030,43471,31235
104000031,130819,23013
104000032,13764,13253
104000033,83065,38453
104000034,24193,12658
104000035,121471,25508
104000036,116353,25947
104000037,19100,10506
104000038,58574,48477
104000039,21009,8564
104000040,11209,32487
104000041,98084,46236
104000042,18738,15849
104000043,16962,27215
104000044,33609,86816
104000045,77287,58408
104000046,62462,60829
104000047,70233,66825
104000048,106374,61098
104000049,70494,31749
104000050,12777,65038
104000051,24360,70103
104000052,305882,319442
104000053,142997,44722
104000054,38760,15636
104000055,208549,161033
104000056,71291,63853
104000057,59451,32336
104000058,148793,79850
104000059,91356,110141
104000060,123137,165406
104000061,109588,61420
104000062,74715,21494
104000064,70971,29059
104000065,12065,54318
104000069,39490,173445
104000070,7251,57173
104000071,61707,30867
104000072,84355,29886
104000073,17524,1979
104000074,1837,5081
104000075,7828,24123
104000076,71091,6190
104000082,176666,386714
104000083,58232,20222
104000084,16623,29568
104000085,56718,27042
104000086,30461,30638
104000087,34566,148399
104000090,110639,55168
104000092,166628,75992
104000094,73981,52600
104000095,304134,133602
104000096,242288,8308
104000097,274346,36730
104000098,398367,38870
104000100,241234,67582
104000101,159878,116988
104000106,14243,65784
104000107,60559,18552
104000108,22650,22246
104000109,34418,11988
